# Mutation tests for the foundation self-test — see scripts/analysis/check-mutations.
#
# WHY THIS FILE EXISTS. A check that is broken and a check that is passing both return
# zero rows. That is the only signal SQL gives, so "it returned nothing on healthy data"
# is not evidence a check works — it is exactly what a no-op does. Every defect found in
# this suite so far was a check that had silently become a no-op, usually because a
# comparison went NULL. This file breaks the catalog on purpose, one way per line, and
# asserts the check that is supposed to notice actually does.
#
# Columns, TAB-separated:
#   name            what is being broken, for the report
#   expect          check_name that MUST appear. `*` means "any row at all" — avoid it:
#                   it passes when the WRONG check fires, so it proves almost nothing
#   sql             statements redefining a view/macro to introduce the defect
#
# Adding a check to catalog_checks.sql? Add a line here breaking what it guards. A check
# with no line is a check nobody has proven fires — and the harness ENFORCES that, in
# both directions: a check with no mutation fails the run, and an entry naming a check
# that no longer exists fails it too.

theme names corrupted	theme_views_disagree	CREATE TABLE _m AS SELECT * FROM themes; CREATE OR REPLACE VIEW themes AS SELECT model_id, list_transform(themes, lambda x: 'wrong') AS themes FROM _m;
themes shifted to wrong model	theme_views_disagree	CREATE TABLE _m AS SELECT * FROM themes; CREATE OR REPLACE VIEW themes AS SELECT model_id, (SELECT themes FROM _m o WHERE o.model_id > t.model_id ORDER BY o.model_id LIMIT 1) AS themes FROM _m t WHERE EXISTS (SELECT 1 FROM _m o WHERE o.model_id > t.model_id);
theme dropped from vocab	theme_not_in_vocab	CREATE TABLE _m AS SELECT * FROM theme_vocab; CREATE OR REPLACE VIEW theme_vocab AS SELECT * FROM _m WHERE id <> (SELECT min(theme_id) FROM model_themes);
feature dropped from vocab	feature_not_in_vocab	CREATE TABLE _m AS SELECT * FROM gameplay_feature_vocab; CREATE OR REPLACE VIEW gameplay_feature_vocab AS SELECT * FROM _m WHERE id <> (SELECT min(feature_id) FROM model_gameplay_features);
vocab DAG one-sided	vocab_dag_asymmetric	CREATE TABLE _m AS SELECT * FROM theme_vocab; CREATE OR REPLACE VIEW theme_vocab AS SELECT * REPLACE ([]::VARCHAR[] AS children) FROM _m;
bidir mirror missing	bidir_mirror_broken	CREATE OR REPLACE VIEW model_edges_bidir AS SELECT 'out' AS direction, * FROM model_edges;
bidir not re-enriched	bidir_target_mismatch	CREATE OR REPLACE VIEW model_edges_bidir AS SELECT 'out' AS direction, * FROM model_edges UNION ALL BY NAME SELECT 'in' AS direction, e.target_id AS model_id, e.edge_source, e.relationship_type, e.license_status, e.model_id AS target_id, NULL::VARCHAR AS target_label, e.* EXCLUDE (model_id, edge_source, relationship_type, license_status, target_id, target_label) FROM model_edges e WHERE e.target_id IS NOT NULL;
bidir mirrors only lineage	bidir_asymmetric	CREATE OR REPLACE VIEW model_edges_bidir AS SELECT 'out' AS direction, * FROM model_edges UNION ALL BY NAME SELECT 'in' AS direction, e.target_id AS model_id, e.edge_source, e.relationship_type, e.license_status, e.model_id AS target_id, NULL::VARCHAR AS target_label, t.* EXCLUDE (id) FROM model_edges e JOIN _model_target t ON t.id = e.model_id WHERE e.target_id IS NOT NULL AND e.edge_source = 'lineage_fk';
title_size row dropped	title_size_disagree	CREATE TABLE _m AS SELECT * FROM title_size; CREATE OR REPLACE VIEW title_size AS SELECT * FROM _m WHERE title_id <> (SELECT min(title_id) FROM _m);
title_size.n nulled	title_size_disagree	CREATE TABLE _m AS SELECT * FROM title_size; CREATE OR REPLACE VIEW title_size AS SELECT * REPLACE (CASE WHEN title_id = (SELECT min(title_id) FROM _m) THEN NULL ELSE n END AS n) FROM _m;
title_size.n shifted	title_size_disagree	CREATE TABLE _m AS SELECT * FROM title_size; CREATE OR REPLACE VIEW title_size AS SELECT * REPLACE (n + 1 AS n) FROM _m;
models.title_size zeroed	title_size_zero_on_live	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (0::BIGINT AS title_size) FROM _m;
models.title_size nulled	title_size_zero_on_live	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (NULLIF(title_size, 1) AS title_size) FROM _m;
namesake_count shifted	namesake_count_disagree	CREATE TABLE _m AS SELECT * FROM models; CREATE OR REPLACE VIEW models AS SELECT * REPLACE (namesake_count + 1 AS namesake_count) FROM _m;
